Date,series,OPEN,HIGH,LOW,PREV_CLOSE,ltp,close,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades
01-Aug-2022,EQ,677.95,697.8,677.05,677.95,697,694.45,689.84,781.8,560,8812526,6079249167.5,156698
29-Jul-2022,EQ,672.8,680.65,671,666.85,677.95,677.95,675.86,781.8,536.15,7669970,5183792338.6,126658
28-Jul-2022,EQ,678.8,679.4,664.2,674.9,667,666.85,669.38,781.8,536.15,7374170,4936146186.45,176742
27-Jul-2022,EQ,683.95,683.95,669.7,684.1,675,674.9,676.08,781.8,536.15,6237523,4217047083.35,142550
26-Jul-2022,EQ,682.6,685.35,670.25,678.4,683,684.1,680.03,781.8,536.15,5016687,3411478454.65,117064
25-Jul-2022,EQ,680,686.55,676.55,678.85,677.5,678.4,682.02,781.8,536.15,2913348,1986958413.75,71656
22-Jul-2022,EQ,679.7,681.9,675.2,678.35,678.3,678.85,678.5,781.8,523,2415220,1638724949.15,64403
21-Jul-2022,EQ,671.5,679.95,671.2,670.65,677.2,678.35,677.09,781.8,523,3550107,2403751177.65,91102
20-Jul-2022,EQ,680,680,668.2,672.9,671,670.65,672.24,781.8,523,4458819,2997399920.8,136376
19-Jul-2022,EQ,675,677,663.1,663.05,671.85,672.9,671.39,781.8,523,7836419,5261274911.3,165094
18-Jul-2022,EQ,657,670,649.15,651.8,668.05,663.05,659.12,781.8,523,8982417,5920500002.1,142338
15-Jul-2022,EQ,648.95,657.5,643.25,641.65,651.55,651.8,652.92,781.8,523,5567877,3635354513.85,100184
14-Jul-2022,EQ,650,652.2,628.75,643.5,642.9,641.65,641.29,781.8,523,11379990,7297906604.7,181878
13-Jul-2022,EQ,670,670,641,663,646.7,643.5,652.01,781.8,523,12030163,7843736812.7,274249
12-Jul-2022,EQ,663.25,666.9,660,660.55,661.55,663,663.6,781.8,523,7416645,4921672744.3,124318
11-Jul-2022,EQ,675,681,658.95,695.15,659.55,660.55,663.41,781.8,523,18687521,12397434355.4,281987
08-Jul-2022,EQ,688,696.6,686.65,686.8,694,695.15,692.38,781.8,521.1,2732170,1891701767.1,77053
07-Jul-2022,EQ,692,696.5,685.45,693.95,687.1,686.8,690.23,781.8,521.1,3485283,2405645318.05,77723
06-Jul-2022,EQ,684.5,694.95,684.2,684.45,693,693.95,691.08,781.8,521.1,4697006,3246029240.45,107259
05-Jul-2022,EQ,683.3,689.3,680.05,681.9,683.65,684.45,685.18,781.8,521.1,3494504,2394377842.15,84562
04-Jul-2022,EQ,670.5,685.5,666.05,673.45,682.1,681.9,676.84,781.8,521.1,4229588,2862736984.15,100740
01-Jul-2022,EQ,684.85,685.8,666,684.95,673,673.45,673.71,781.8,520,4488771,3024148360.5,108098
30-Jun-2022,EQ,689.8,691.6,679,687.8,684.9,684.95,684.22,781.8,520,6505666,4451313726,156632
29-Jun-2022,EQ,677,689.1,675,681.15,686,687.8,685.11,781.8,520,5011798,3433644687.75,91137
28-Jun-2022,EQ,683,684.9,676.3,683.95,682.55,681.15,681.22,781.8,520,3216376,2191048621.05,92823
27-Jun-2022,EQ,675,687,671.2,671.2,686.3,683.95,679.55,781.8,520,5284297,3590917956.95,101118
24-Jun-2022,EQ,662.1,675.7,662.1,660.2,670.4,671.2,671.36,781.8,520,5621332,3773945754.9,111357
23-Jun-2022,EQ,648.15,664.6,647.75,642.85,660.8,660.2,658.18,781.8,520,4336533,2854209967,106603
22-Jun-2022,EQ,648.6,650.35,641.45,654.3,642.8,642.85,645.62,781.8,520,4348884,2807724018.25,98080
21-Jun-2022,EQ,642.1,658.15,640.5,640.9,652.75,654.3,651.71,781.8,520,3515991,2291395392.1,87152
20-Jun-2022,EQ,644.95,647.45,634.2,643.65,643,640.9,638.61,781.8,520,3883001,2479725612.6,122687
